p_id,sero,sero_num
1ha0,H?N?,0
1jsm,H?N?,0
1jsn,H?N?,0
1jso,H?N?,0
1mql,H?N?,0
1mqm,H?N?,0
1mqn,H?N?,0
1rd8,H?N?,0
1rvt,H?N?,0
1ti8,H?N?,0
2ibx,H?N?,0
2rft,H?N?,0
2rfu,H?N?,0
2wr0,H?N?,0
2wr1,H?N?,0
2wr2,H?N?,0
2wr3,H?N?,0
2wr4,H?N?,0
2wr5,H?N?,0
2wrb,H?N?,0
2wrc,H?N?,0
2yp2,H?N?,0
2yp3,H?N?,0
2yp5,H?N?,0
2yp7,H?N?,0
2yp8,H?N?,0
2yp9,H?N?,0
3bt6,H?N?,0
3eyj,H?N?,0
3eyk,H?N?,0
3eym,H?N?,0
3s11,H?N?,0
3zp0,H?N?,0
3zp1,H?N?,0
3zp2,H?N?,0
3zp6,H?N?,0
3zpb,H?N?,0
4bsa,H?N?,0
4bsb,H?N?,0
4bsc,H?N?,0
4bsd,H?N?,0
4bse,H?N?,0
4bsf,H?N?,0
4d00,H?N?,0
4fqj,H?N?,0
4fqk,H?N?,0
4fqm,H?N?,0
4kon,H?N?,0
4lcx,H?N?,0
4lkg,H?N?,0
4lkh,H?N?,0
4lki,H?N?,0
4lkj,H?N?,0
4lkk,H?N?,0
4lxv,H?N?,0
4m40,H?N?,0
4m44,H?N?,0
4m5z,H?N?,0
4mc5,H?N?,0
4nrj,H?N?,0
4nrk,H?N?,0
4nrl,H?N?,0
4qy0,H?N?,0
4qy1,H?N?,0
4qy2,H?N?,0
4uo4,H?N?,0
reference,H?N?,0
