p_id,sero,sero_num
1eo8,H3N2,1
1ha0,H?N?,0
1hgd,H3N2,1
1hge,H3N2,1
1hgf,H3N2,1
1hgg,H3N2,1
1hgh,H3N2,1
1hgi,H3N2,1
1hgj,H3N2,1
1jsd,H9N2,2
1jsh,H9N2,2
1jsi,H9N2,2
1jsm,H?N?,0
1jsn,H?N?,0
1jso,H?N?,0
1ken,H3N2,1
1mql,H?N?,0
1mqm,H?N?,0
1mqn,H?N?,0
1qfu,H3N2,1
1rd8,H?N?,0
1ru7,H1N1,3
1rvt,H?N?,0
1rvx,H1N1,3
1rvz,H1N1,3
1ti8,H?N?,0
2fk0,H5N1,4
2hmg,H3N2,1
2ibx,H?N?,0
2rft,H?N?,0
2rfu,H?N?,0
2viu,H3N2,1
2wr0,H?N?,0
2wr1,H?N?,0
2wr2,H?N?,0
2wr3,H?N?,0
2wr4,H?N?,0
2wr5,H?N?,0
2wr7,H2N2,5
2wrb,H?N?,0
2wrc,H?N?,0
2wrd,H2N2,5
2wre,H2N2,5
2wrf,H2N2,5
2wrg,H1N1,3
2wrh,H1N1,3
2yp2,H?N?,0
2yp3,H?N?,0
2yp5,H?N?,0
2yp7,H?N?,0
2yp8,H?N?,0
2yp9,H?N?,0
2ypg,H3N2,1
3al4,H1N1,3
3bt6,H?N?,0
3eyj,H?N?,0
3eyk,H?N?,0
3eym,H?N?,0
3fku,H5N1,4
3gbm,H5N1,4
3gbn,H1N1,3
3hmg,H3N2,1
3hto,H1N1,3
3htp,H1N1,3
3htq,H1N1,3
3htt,H1N1,3
3ku3,H2N2,5
3ku5,H2N2,5
3ku6,H2N2,5
3lzf,H1N1,3
3lzg,H1N1,3
3m5g,H7N2,6
3m5h,H7N2,6
3m5i,H7N2,6
3m5j,H7N2,6
3m6s,H1N1,3
3mlh,H1N1,3
3qqb,H2N2,5
3qqe,H2N2,5
3qqi,H2N2,5
3qqo,H2N2,5
3r2x,H1N1,3
3s11,H?N?,0
3s12,H5N1,4
3s13,H5N1,4
3sdy,H3N2,1
3sm5,H1N1,3
3ube,H1N1,3
3ubj,H1N1,3
3ubn,H1N1,3
3ubq,H1N1,3
3uyw,H1N1,3
3uyx,H1N1,3
3vun,H3N2,1
3znk,H5N1,4
3znl,H5N1,4
3znm,H5N1,4
3zp0,H?N?,0
3zp1,H?N?,0
3zp2,H?N?,0
3zp3,H5N1,4
3zp6,H?N?,0
3zpb,H?N?,0
3ztj,H3N2,1
4bgw,H5N1,4
4bgx,H5N1,4
4bgy,H5N1,4
4bgz,H5N1,4
4bh0,H5N1,4
4bh1,H5N1,4
4bh2,H5N1,4
4bh3,H5N1,4
4bh4,H5N1,4
4bsa,H?N?,0
4bsb,H?N?,0
4bsc,H?N?,0
4bsd,H?N?,0
4bse,H?N?,0
4bsf,H?N?,0
4bsg,H7N3,7
4bsh,H7N3,7
4bsi,H7N3,7
4cqp,H5N1,4
4cqq,H5N1,4
4cqr,H5N1,4
4cqs,H5N1,4
4cqt,H5N1,4
4cqu,H5N1,4
4cqv,H5N1,4
4cqw,H5N1,4
4cqx,H5N1,4
4cqy,H5N1,4
4cqz,H5N1,4
4cr0,H5N1,4
4cyv,H10N2,8
4cyw,H10N2,8
4cyz,H10N2,8
4cz0,H10N2,8
4d00,H?N?,0
4dj6,H7N7,9
4dj7,H7N7,9
4dj8,H7N7,9
4eda,H1N1,3
4edb,H1N1,3
4eef,H1N1,3
4f15,H1N1,3
4f23,H16N3,10
4f3z,H1N2,11
4fnk,H3N2,1
4fp8,H3N2,1
4fqi,H5N1,4
4fqj,H?N?,0
4fqk,H?N?,0
4fqm,H?N?,0
4fqr,H3N2,1
4fqv,H7N7,9
4fqy,H3N2,1
4gms,H3N2,1
4gxu,H1N1,3
4gxx,H1N1,3
4h32,H17N10,12
4hf5,H2N2,5
4hfu,H2N2,5
4hg4,H2N2,5
4hlz,H2N2,5
4hmg,H3N2,1
4i78,H17N10,12
4jtv,H1N1,3
4jtx,H1N1,3
4ju0,H1N1,3
4jug,H1N1,3
4juh,H1N1,3
4juj,H1N1,3
4juk,H5N1,4
4jul,H5N1,4
4jum,H5N1,4
4jun,H5N1,4
4k62,H5N1,4
4k63,H5N1,4
4k64,H5N1,4
4k65,H5N1,4
4k66,H5N1,4
4k67,H5N1,4
4kdm,H5N1,4
4kdn,H5N1,4
4kdo,H5N1,4
4kdq,H5N1,4
4kon,H?N?,0
4kpq,H13N6,13
4kps,H13N6,13
4kth,H5N1,4
4kvn,H3N2,1
