id,chain,subtype,host,location,year
1ha0,A,H3N2,,Aichi,1968
4eef,A,H1N1,,BrevigMission,1918
4cqp,A,H5N1,,Vietnam,2004
4cqq,A,H5N1,,Vietnam,2004
4cqr,A,H5N1,,Vietnam,2004
4cqs,A,H5N1,,Vietnam,2004
4cqt,A,H5N1,,Vietnam,2004
4cqu,A,H5N1,,Vietnam,2004
4cqv,A,H5N1,avian,Turkey,2005
4cqw,A,H5N1,avian,Turkey,2005
4cqx,A,H5N1,avian,Turkey,2005
4cqy,A,H5N1,avian,Turkey,2005
4cqz,A,H5N1,,Vietnam,2004
4lvh,A,H1N1,,Korea,2009
3qqo,A,H2N2,,Japan,1957
4f23,A,H16N3,avian,Sweden,1999
4f3z,A,H1N2,swine,Indiana,2000
4hmg,A,H3N2,,Aichi,1968
4cyz,A,H10N2,avian,Sweden,2002
3fku,A,H5N1,,HongKong,2003
3mlh,A,H1N1,,Mexico,2009
3sm5,A,H1N1,,SolomonIslands,2006
4cyv,A,H10N2,avian,Sweden,2002
4cyw,A,H10N2,avian,Sweden,2002
3htq,A,H1N1,avian,JX,2005
3htp,A,H1N1,avian,JX,2005
2fk0,A,H5N1,avian,Vietnam,2003
4m4y,A,H1N1,,California,2009
4kvn,A,H3N2,,Perth,2009
4bsb,A,H7N9,,Hangzhou,2013
3hmg,A,H3N2,,Aichi,1968
4mhi,A,H5N1,avian,Guangdong,1996
3hto,A,H1N1,avian,JX,2005
4mhj,A,H5N1,avian,Guangdong,1996
4fqy,A,H3N2,,HongKong,1968
2wrg,A,H1N1,,BrevigMission,1918
2viu,A,H3N2,,Aichi,1968
4fqr,A,H3N2,,HongKong,1968
4hlz,A,H2N2,,Japan,1957
4fnk,A,H3N2,,HongKong,1968
4fqi,A,H5N1,,VietNam,2004
4juh,A,H1N1,,BrevigMission,1918
2wrc,A,H2N2,,Singapore,1957
3znk,A,H5N1,,Vietnam,2004
5hmg,A,H3N2,,Aichi,1968
3znm,A,H5N1,,Vietnam,2004
3znl,A,H5N1,,Vietnam,2004
4n61,A,H7N9,,Shanghai,2013
4ln8,A,H7N9,,Shanghai,2013
4hg4,A,H2N2,,Japan,1957
4ln6,A,H7N9,,Shanghai,2013
4ln4,A,H7N9,,Shanghai,2013
4ln3,A,H7N9,,Shanghai,2013
1rvx,A,H1N1,,PuertoRico,1934
4wa1,A,H3N8,harbor_seal,Massachusetts,2011
4wa2,A,H3N8,harbor_seal,Massachusetts,2011
3s11,A,H5N1,avian,Guangdong,1996
