p_id,p_id2,distance_mean,distance_median,distance_std
H3N9,H3N8,1.01117647059,0.97,0.181103881562
H3N9,H3N1,0.957777777778,0.93,0.164301739882
H3N9,H3N3,1.38,1.38,0.0
H3N9,H3N2,1.08760617761,1.11,0.202260543679
H3N9,H3N5,0.923333333333,0.95,0.237533623351
H3N9,H3N7,1.24,1.24,0.0
H3N9,H3N6,1.0625,1.13,0.222640405138
H3N9,H5N9,2.29,2.29,0.08
H3N9,H5N8,2.57,2.57,0.0
H3N9,H5N7,2.4,2.4,0.0
H3N9,H5N6,2.64,2.64,0.0
H3N9,H5N5,2.368,2.4,0.0713862731903
H3N9,H5N3,2.37,2.29,0.231192560434
H3N9,H5N2,2.38,2.38,0.169497527311
H3N9,H5N1,2.5634351145,2.54,0.191637264669
H3N9,H10N8,1.935,1.935,0.015
H3N9,H7N9,1.92,1.92,0.0
H3N9,H7N8,1.84,1.84,0.0
H3N9,H7N4,1.59,1.59,0.0
H3N9,H7N7,1.82833333333,1.81,0.114224437938
H3N9,H10N3,1.97,1.97,0.0
H3N9,H7N1,1.91,1.78,0.190962474499
H3N9,H7N3,2.00857142857,2.02,0.177958949635
H3N9,H10N7,1.985,1.945,0.108216053734
H3N9,H2N5,2.3475,2.185,0.316415470545
H3N9,H2N7,2.355,2.37,0.0955248658727
H3N9,H2N1,2.22,2.22,0.03
H3N9,H2N2,2.222,2.23,0.125888839855
H3N9,H2N3,2.44875,2.425,0.167812209031
H3N9,H1N2,2.64329949239,2.63,0.153440332654
H3N9,H1N1,2.67618798956,2.66,0.18897852714
H3N9,H2N9,2.31,2.31,0.0
H3N9,H9N2,2.3636,2.36,0.0985851915858
H3N9,H9N1,2.31666666667,2.36,0.0684754619472
H3N9,H9N7,2.29,2.29,0.0
H3N9,H9N6,2.2,2.2,0.0
H3N9,H9N5,2.465,2.465,0.015
H3N9,H9N9,2.39,2.39,0.0
H3N9,H7N2,1.99666666667,1.92,0.207257220756
H3N8,H3N1,1.04529411765,1.02,0.219473698526
H3N8,H3N3,1.22470588235,1.2,0.251656106319
H3N8,H3N2,1.07212906158,1.06,0.220809355205
H3N8,H3N5,1.11764705882,1.12,0.227187304907
H3N8,H3N7,1.17647058824,1.17,0.226038548937
H3N8,H3N6,0.996029411765,0.985,0.217317467057
H3N8,H5N9,2.21029411765,2.23,0.123323708281
H3N8,H5N8,2.50411764706,2.46,0.133903337547
H3N8,H5N7,2.38647058824,2.39,0.0653444427153
H3N8,H5N6,2.55470588235,2.56,0.114743583548
H3N8,H5N5,2.26058823529,2.26,0.114976754082
H3N8,H5N3,2.27367647059,2.205,0.210607695042
H3N8,H5N2,2.28546712803,2.28,0.150254247477
H3N8,H5N1,2.43590031432,2.42,0.192607972588
H3N8,H10N8,1.95647058824,1.945,0.114606291608
H3N8,H7N9,2.00647058824,2.0,0.0856766270874
H3N8,H7N8,1.77470588235,1.76,0.0815379844402
H3N8,H7N4,1.82647058824,1.77,0.148242296753
H3N8,H7N7,1.90406862745,1.89,0.148349135078
H3N8,H10N3,1.99411764706,1.98,0.0933720466754
H3N8,H7N1,2.02196078431,2.03,0.182595874444
H3N8,H7N3,2.06159663866,2.08,0.192084904167
H3N8,H10N7,1.97415966387,1.95,0.138927191087
H3N8,H2N5,2.24823529412,2.135,0.280791639186
