p_id,p_id2,distance_mean,distance_median,distance_std
H9,H2,1.81515236568,1.77,0.217588198067
H9,H3,2.26878775268,2.26,0.12534162171
H9,H1,2.26389741844,2.23,0.362754743629
H9,H7,2.59420062696,2.58,0.161147639231
H9,H5,2.14504310345,2.13,0.276477056137
H9,H10,2.43895474138,2.46,0.176930503656
H2,H3,2.18367201283,2.15,0.181921041442
H2,H1,2.05352010354,2.05,0.375675079944
H2,H7,2.4299577167,2.41,0.209654229691
H2,H5,1.74761780906,1.81,0.415614822565
H2,H10,2.34542151163,2.33,0.168161561304
H3,H1,2.55619432923,2.53,0.224532160318
H3,H7,1.97822779519,1.95,0.185183504518
H3,H5,2.43202019056,2.42,0.214681621886
H3,H10,2.00480603448,1.99,0.146793915939
H1,H7,2.79523312116,2.78,0.228498495114
H1,H5,1.74682675045,1.7,0.325877066039
H1,H10,2.64003815081,2.61,0.241172933065
H7,H5,2.68664673046,2.67,0.242755479625
H7,H10,1.5190719697,1.48,0.322974589913
H5,H10,2.5,2.47,0.206421180956
