p_id,p_id2,distance_mean,distance_median,distance_std
H17N10,H2N2,1.82676470588,1.825,0.17369209722
H17N10,H9N2,1.88166666667,1.885,0.0167497927019
H17N10,H1N2,1.525,1.525,0.055
H17N10,H1N1,1.79357142857,2.02,0.665168512228
H17N10,H7N7,2.4975,2.495,0.112221878437
H17N10,H5N3,2.20333333333,2.205,0.0991071249821
H17N10,H16N3,1.855,1.85,0.00866025403784
H17N10,H5N1,2.02898305085,2.22,0.553934141944
H17N10,H3N8,2.40894736842,2.41,0.0606017836147
H17N10,H13N6,1.7075,1.705,0.00829156197589
H17N10,H7N9,2.70104166667,2.7,0.0470035274976
H17N10,H10N7,2.67,2.67,0.07
H17N10,H10N2,2.74375,2.76,0.0561109392187
H17N10,H3N2,2.45052631579,2.45,0.0700168163418
H17N10,H14N6,2.4925,2.485,0.0496865172859
H17N10,H7N3,2.62625,2.6,0.0587233982327
H17N10,H7N2,2.66875,2.665,0.0247171499166
H2N2,H9N2,1.81,1.77,0.245396837476
H2N2,H1N2,1.01647058824,0.89,0.324090422685
H2N2,H1N1,1.39219887955,1.37,0.630439853298
H2N2,H7N7,2.50764705882,2.44,0.271494326921
H2N2,H5N3,1.09176470588,0.77,0.472808487874
H2N2,H16N3,2.08147058824,1.99,0.228359009829
H2N2,H5N1,1.09193419741,0.91,0.500510255748
H2N2,H3N8,2.46095975232,2.41,0.197648736773
H2N2,H13N6,1.95823529412,1.95,0.196026267571
H2N2,H7N9,2.49026960784,2.455,0.240750818739
H2N2,H10N7,2.42588235294,2.41,0.203269129728
H2N2,H10N2,2.40058823529,2.375,0.203027688295
H2N2,H3N2,2.4539628483,2.41,0.172054850803
H2N2,H14N6,2.39205882353,2.275,0.193357021378
H2N2,H7N3,2.46397058824,2.46,0.26849876605
H2N2,H7N2,2.55955882353,2.485,0.357328460793
H9N2,H1N2,1.20666666667,1.2,0.016996731712
H9N2,H1N1,1.60325396825,1.825,0.597895554617
H9N2,H7N7,2.16916666667,2.125,0.0827101700048
H9N2,H5N3,1.55333333333,1.55,0.0418993502999
H9N2,H16N3,1.95666666667,1.96,0.0268741924943
H9N2,H5N1,1.55881355932,1.63,0.441283764397
H9N2,H3N8,2.07947368421,2.08,0.0462419666852
H9N2,H13N6,1.81,1.805,0.0238047614285
H9N2,H7N9,2.32333333333,2.36,0.102686145338
H9N2,H10N7,2.21,2.21,0.0163299316186
H9N2,H10N2,2.18083333333,2.18,0.0525132258473
H9N2,H3N2,2.07789473684,2.06,0.0558738190614
H9N2,H14N6,1.93,1.93,0.00816496580928
H9N2,H7N3,2.29666666667,2.295,0.0224845626054
H9N2,H7N2,2.15916666667,2.16,0.0507376147996
H1N2,H1N1,1.40071428571,1.19,1.11157415805
H1N2,H7N7,1.8525,1.87,0.0432290411645
H1N2,H5N3,0.793333333333,0.78,0.0262466929134
H1N2,H16N3,1.4,1.4,0.0
H1N2,H5N1,0.818983050847,0.77,0.269831679582
H1N2,H3N8,1.76578947368,1.77,0.0698355805464
H1N2,H13N6,1.115,1.115,0.005
H1N2,H7N9,1.74291666667,1.725,0.0487749224044
H1N2,H10N7,1.92,1.92,0.0
H1N2,H10N2,1.8175,1.84,0.067592529173
H1N2,H3N2,1.74289473684,1.735,0.0596881322391
H1N2,H14N6,1.645,1.645,0.015
H1N2,H7N3,1.7475,1.715,0.0593190525885
H1N2,H7N2,1.7825,1.79,0.025860201082
H1N1,H7N7,2.23636904762,2.435,0.571970721856
H1N1,H5N3,1.355,1.625,0.510979063343
H1N1,H16N3,1.97083333333,2.145,0.435737492877
H1N1,H5N1,1.26955609362,1.29,0.567637839284
H1N1,H3N8,2.14324561404,2.37,0.575721943925
H1N1,H13N6,1.76392857143,2.005,0.562257392882
H1N1,H7N9,2.27015873016,2.49,0.573074047304
H1N1,H10N7,2.14571428571,2.365,0.427969418451
H1N1,H10N2,2.11291666667,2.34,0.462581208014
H1N1,H3N2,2.11598997494,2.33,0.557855686821
H1N1,H14N6,2.17404761905,2.425,0.586296120224
H1N1,H7N3,2.2531547619,2.455,0.578892764846
H1N1,H7N2,2.4281547619,2.7,0.693510428288
H7N7,H5N3,2.26583333333,2.2,0.168000909389
H7N7,H16N3,2.53125,2.515,0.146068263151
H7N7,H5N1,2.20855932203,2.22,0.476594158843
H7N7,H3N8,1.61092105263,1.585,0.111522686288
H7N7,H13N6,2.4375,2.38,0.109630059746
H7N7,H7N9,0.851458333333,0.945,0.211748569292
H7N7,H10N7,1.235,1.335,0.229619250064
H7N7,H10N2,1.275,1.355,0.27509089407
H7N7,H3N2,1.59921052632,1.59,0.0827450611961
H7N7,H14N6,1.73625,1.71,0.0957780637725
H7N7,H7N3,0.71,0.75,0.211925694525
H7N7,H7N2,0.746875,0.695,0.16619712505
H5N3,H16N3,2.14666666667,2.15,0.0319722101554
H5N3,H5N1,0.713107344633,0.57,0.390232372903
H5N3,H3N8,2.15631578947,2.16,0.0700283546319
H5N3,H13N6,2.07666666667,2.07,0.0268741924943
H5N3,H7N9,2.35097222222,2.37,0.0886654091738
H5N3,H10N7,2.15333333333,2.15,0.00471404520791
H5N3,H10N2,2.11833333333,2.115,0.0203442593596
H5N3,H3N2,2.10412280702,2.09,0.055295242705
H5N3,H14N6,2.30166666667,2.3,0.0106718737291
H5N3,H7N3,2.31083333333,2.24,0.12698151659
H5N3,H7N2,2.5175,2.53,0.0353847895759
H16N3,H5N1,2.17008474576,2.22,0.220590485538
H16N3,H3N8,2.38868421053,2.37,0.0697428001427
H16N3,H13N6,0.795,0.795,0.005
H16N3,H7N9,2.72020833333,2.74,0.0598779864716
H16N3,H10N7,2.64,2.64,0.01
H16N3,H10N2,2.79125,2.76,0.0776912961663
H16N3,H3N2,2.45078947368,2.48,0.076875893797
H16N3,H14N6,2.3775,2.38,0.0129903810568
H16N3,H7N3,2.675,2.655,0.0384057287393
H16N3,H7N2,2.6025,2.6,0.0147901994577
H5N1,H3N8,2.15454950937,2.21,0.397846788793
H5N1,H13N6,1.93415254237,2.12,0.547436748566
H5N1,H7N9,2.22395480226,2.34,0.45979457854
H5N1,H10N7,2.03762711864,2.14,0.378078724575
H5N1,H10N2,1.97110169492,2.06,0.354798304838
H5N1,H3N2,2.09031668153,2.14,0.366867344079
H5N1,H14N6,2.23940677966,2.35,0.473716450219
H5N1,H7N3,2.22101694915,2.25,0.476580136841
H5N1,H7N2,2.45207627119,2.58,0.552386511955
H3N8,H13N6,2.24815789474,2.23,0.0695040802724
H3N8,H7N9,1.77,1.77,0.0817543389052
H3N8,H10N7,1.89684210526,1.92,0.0727687491903
H3N8,H10N2,1.96697368421,1.95,0.125562101817
H3N8,H3N2,0.68432132964,0.68,0.156186892858
H3N8,H14N6,0.923947368421,0.92,0.0613248242722
H3N8,H7N3,1.68355263158,1.68,0.0592653255189
H3N8,H7N2,1.61657894737,1.61,0.0487083866003
H13N6,H7N9,2.60291666667,2.64,0.0857554258083
H13N6,H10N7,2.525,2.525,0.015
H13N6,H10N2,2.71625,2.7,0.0768012857965
H13N6,H3N2,2.33157894737,2.345,0.0778840675481
H13N6,H14N6,2.2475,2.245,0.00829156197589
H13N6,H7N3,2.53875,2.55,0.0252178012523
H13N6,H7N2,2.42125,2.41,0.0266634112596
H7N9,H10N7,0.939166666667,0.94,0.107234815035
H7N9,H10N2,0.955208333333,0.95,0.131442154313
H7N9,H3N2,1.67470394737,1.67,0.0706852430208
H7N9,H14N6,1.828125,1.82,0.0546449239027
H7N9,H7N3,0.505520833333,0.48,0.104511460612
H7N9,H7N2,0.903958333333,0.9,0.0795099465301
H10N7,H10N2,0.4725,0.45,0.109857862714
H10N7,H3N2,1.77789473684,1.77,0.043598520903
H10N7,H14N6,1.965,1.965,0.015
H10N7,H7N3,0.9425,0.91,0.0887059749961
H10N7,H7N2,1.35,1.35,0.0291547594742
H10N2,H3N2,1.82697368421,1.81,0.0977176347932
H10N2,H14N6,1.97375,1.99,0.0751560875778
H10N2,H7N3,0.973125,0.94,0.121999935963
H10N2,H7N2,1.351875,1.345,0.0934892206353
H3N2,H14N6,0.883815789474,0.87,0.0725107452158
H3N2,H7N3,1.60809210526,1.6,0.057063371428
H3N2,H7N2,1.61019736842,1.59,0.0774466743088
H14N6,H7N3,1.75125,1.74,0.0456720647661
H14N6,H7N2,1.6625,1.655,0.024366985862
H7N3,H7N2,0.805,0.82,0.123995967676
