p_id,p_id2,distance
1eo8,1eo8,0.000
1ha0,1eo8,0.077
1ha0,1ha0,0.000
1hgd,1eo8,0.126
1hgd,1ha0,0.063
1hgd,1hgd,0.000
1hge,1eo8,0.126
1hge,1ha0,0.063
1hge,1hgd,0.000
1hge,1hge,0.000
1hgf,1eo8,0.000
1hgf,1ha0,0.063
1hgf,1hgd,0.100
1hgf,1hge,0.110
1hgf,1hgf,0.000
1hgg,1eo8,0.077
1hgg,1ha0,0.000
1hgg,1hgd,0.045
1hgg,1hge,0.045
1hgg,1hgf,0.045
1hgg,1hgg,0.000
1hgh,1eo8,0.077
1hgh,1ha0,0.000
1hgh,1hgd,0.045
1hgh,1hge,0.045
1hgh,1hgf,0.063
1hgh,1hgg,0.000
1hgh,1hgh,0.000
1hgi,1eo8,0.089
1hgi,1ha0,0.045
1hgi,1hgd,0.045
1hgi,1hge,0.045
1hgi,1hgf,0.063
1hgi,1hgg,0.000
1hgi,1hgh,0.000
1hgi,1hgi,0.000
1hgj,1eo8,0.077
1hgj,1ha0,0.000
1hgj,1hgd,0.063
1hgj,1hge,0.063
1hgj,1hgf,0.045
1hgj,1hgg,0.000
1hgj,1hgh,0.000
1hgj,1hgi,0.000
1hgj,1hgj,0.000
1jsd,1eo8,0.224
1jsd,1ha0,0.249
1jsd,1hgd,0.286
1jsd,1hge,0.286
1jsd,1hgf,0.232
1jsd,1hgg,0.265
1jsd,1hgh,0.265
1jsd,1hgi,0.276
1jsd,1hgj,0.261
1jsd,1jsd,0.000
1jsh,1eo8,0.228
1jsh,1ha0,0.253
1jsh,1hgd,0.286
1jsh,1hge,0.286
1jsh,1hgf,0.232
1jsh,1hgg,0.265
1jsh,1hgh,0.265
1jsh,1hgi,0.276
1jsh,1hgj,0.265
1jsh,1jsd,0.000
1jsh,1jsh,0.000
1jsi,1eo8,0.245
1jsi,1ha0,0.272
1jsi,1hgd,0.307
1jsi,1hge,0.307
1jsi,1hgf,0.253
1jsi,1hgg,0.286
1jsi,1hgh,0.286
1jsi,1hgi,0.293
1jsi,1hgj,0.283
1jsi,1jsd,0.000
1jsi,1jsh,0.000
1jsi,1jsi,0.000
1jsm,1eo8,0.626
1jsm,1ha0,0.569
1jsm,1hgd,0.522
1jsm,1hge,0.520
1jsm,1hgf,0.615
1jsm,1hgg,0.571
1jsm,1hgh,0.569
1jsm,1hgi,0.567
1jsm,1hgj,0.576
1jsm,1jsd,0.659
1jsm,1jsh,0.650
1jsm,1jsi,0.663
1jsm,1jsm,0.000
1jsn,1eo8,0.612
1jsn,1ha0,0.557
1jsn,1hgd,0.508
1jsn,1hge,0.504
1jsn,1hgf,0.600
1jsn,1hgg,0.559
1jsn,1hgh,0.555
1jsn,1hgi,0.553
1jsn,1hgj,0.562
1jsn,1jsd,0.647
1jsn,1jsh,0.637
1jsn,1jsi,0.651
1jsn,1jsm,0.000
1jsn,1jsn,0.000
1jso,1eo8,0.616
1jso,1ha0,0.560
1jso,1hgd,0.512
1jso,1hge,0.508
1jso,1hgf,0.605
1jso,1hgg,0.562
1jso,1hgh,0.559
1jso,1hgi,0.557
1jso,1hgj,0.566
1jso,1jsd,0.651
1jso,1jsh,0.642
1jso,1jsi,0.656
1jso,1jsm,0.000
1jso,1jsn,0.000
1jso,1jso,0.000
1ken,1eo8,0.045
1ken,1ha0,0.045
1ken,1hgd,0.100
1ken,1hge,0.110
1ken,1hgf,0.045
1ken,1hgg,0.063
1ken,1hgh,0.063
1ken,1hgi,0.077
1ken,1hgj,0.063
1ken,1jsd,0.205
1ken,1jsh,0.210
1ken,1jsi,0.228
1ken,1jsm,0.613
1ken,1jsn,0.600
1ken,1jso,0.603
1ken,1ken,0.000
1mql,1eo8,0.134
1mql,1ha0,0.077
1mql,1hgd,0.045
1mql,1hge,0.045
1mql,1hgf,0.110
1mql,1hgg,0.063
1mql,1hgh,0.063
1mql,1hgi,0.045
1mql,1hgj,0.063
1mql,1jsd,0.319
1mql,1jsh,0.319
1mql,1jsi,0.338
1mql,1jsm,0.537
1mql,1jsn,0.523
1mql,1jso,0.525
1mql,1ken,0.118
1mql,1mql,0.000
1mqm,1eo8,0.241
1mqm,1ha0,0.214
1mqm,1hgd,0.100
1mqm,1hge,0.100
1mqm,1hgf,0.205
1mqm,1hgg,0.195
1mqm,1hgh,0.190
1mqm,1hgi,0.190
1mqm,1hgj,0.190
1mqm,1jsd,0.377
1mqm,1jsh,0.377
1mqm,1jsi,0.392
1mqm,1jsm,0.553
1mqm,1jsn,0.551
1mqm,1jso,0.544
1mqm,1ken,0.195
1mqm,1mql,0.184
1mqm,1mqm,0.000
1mqn,1eo8,0.228
1mqn,1ha0,0.200
1mqn,1hgd,0.077
1mqn,1hge,0.077
1mqn,1hgf,0.195
1mqn,1hgg,0.184
