p_id,p_id2,score
1ha0,1ha0,1690.0
4eef,4eef,1742.0
4cqp,4cqp,1735.0
4cqq,4cqq,1735.0
4cqr,4cqr,1735.0
4cqs,4cqs,1732.0
4cqt,4cqt,1732.0
4cqu,4cqu,1732.0
4cqv,4cqv,1736.0
4cqw,4cqw,1736.0
4cqx,4cqx,1736.0
4cqy,4cqy,1736.0
4cqz,4cqz,1733.0
4lvh,4lvh,1191.0
3qqo,3qqo,1744.0
4f23,4f23,1740.0
4f3z,4f3z,1741.0
4hmg,4hmg,1691.0
4cyz,4cyz,1695.0
3fku,3fku,1738.0
3mlh,3mlh,1142.0
4cyv,4cyv,1695.0
4cyw,4cyw,1695.0
3htq,3htq,1742.0
3htp,3htp,1742.0
2fk0,2fk0,1739.0
4m4y,4m4y,1741.0
4kvn,4kvn,1699.0
3hmg,3hmg,1691.0
4mhi,4mhi,1746.0
3hto,3hto,1742.0
4mhj,4mhj,1746.0
4fqy,4fqy,1691.0
2wrg,2wrg,1745.0
2viu,2viu,1689.0
4fqr,4fqr,1691.0
4hlz,4hlz,1744.0
4fnk,4fnk,1691.0
4fqi,4fqi,1739.0
4juh,4juh,1736.0
2wrc,2wrc,1712.0
3znk,3znk,1733.0
5hmg,5hmg,1690.0
3znm,3znm,1733.0
3znl,3znl,1733.0
2wrb,2wrb,1712.0
4ln8,4ln8,1660.0
4hg4,4hg4,1740.0
4ln6,4ln6,1660.0
4lxv,4lxv,1740.0
4eda,4eda,1724.0
4ln3,4ln3,1668.0
4kw1,4kw1,1728.0
4wa1,4wa1,1685.0
4wa2,4wa2,1685.0
3s11,3s11,1739.0
3s13,3s13,1503.0
3s12,3s12,1729.0
4hf5,4hf5,1744.0
1jsm,1jsm,1742.0
1jsn,1jsn,1742.0
1jso,1jso,1742.0
1jsh,1jsh,1703.0
1jsi,1jsi,1703.0
1jsd,1jsd,1703.0
3ubq,3ubq,1742.0
3zpb,3zpb,1734.0
4uo2,4uo2,1680.0
4jtv,4jtv,1728.0
3sm5,3sm5,1739.0
3sdy,3sdy,1691.0
3qqe,3qqe,1744.0
4h32,4h32,1734.0
3qqb,3qqb,1744.0
4jtx,4jtx,1739.0
1rvz,1rvz,1736.0
1rvx,1rvx,1736.0
4kps,4kps,1751.0
1mql,1mql,1694.0
4kpq,4kpq,1751.0
4edb,4edb,1734.0
3lzg,3lzg,1735.0
3lzf,3lzf,1736.0
1rvt,1rvt,1734.0
4bh2,4bh2,1743.0
3eym,3eym,1690.0
4hfu,4hfu,1740.0
4bgw,4bgw,1733.0
4gxx,4gxx,1741.0
4bgz,4bgz,1721.0
4bgy,4bgy,1733.0
4bgx,4bgx,1733.0
4f15,4f15,1192.0
