p_id,p_id2,distance
ABW36333,ADD23162,1363.5
ABW36333,ABY40410,1468.0
ABW36333,BAN14734,1447.0
ABW36333,BAN14735,1477.0
ABW36333,AHM24199,1388.0
ABW36333,AEL89681,1391.5
ABW36333,ACR26715,1412.0
ABW36333,AFH76985,1396.0
ABW36333,ABU80265,1524.0
ABW36333,AHM24191,1417.0
ABW36333,AGK24317,1445.5
ABW36333,AHB73644,1439.0
ABW36333,AFR75854,1400.0
ABW36333,AEV40002,1386.5
ABW36333,AHB51172,1426.0
ABW36333,AEW25367,1387.5
ABW36333,ADV19281,1461.5
ABW36333,ADY71223,1424.0
ABW36333,ADB82656,1394.5
ABW36333,AHZ65737,1426.0
ABW36333,ABK57093,1442.5
ABW36333,ABK57092,1469.0
ABW36333,AHA38580,1373.5
ABW36333,AHH00837,1397.5
ABW36333,AGS48846,1407.0
ABW36333,ADJ38087,1408.5
ABW36333,AFZ15807,1396.5
ABW36333,AHB72834,1402.0
ABW36333,AFM46999,1361.5
ABW36333,AEJ10440,1360.5
ABW36333,ADF83497,1503.0
ABW36333,AEA48985,1368.0
ABW36333,AEA92634,1433.5
ABW36333,AFR75836,1432.0
ABW36333,AFJ78661,1384.5
ABW36333,AFQ37281,1363.5
ABW36333,AGK73290,1400.5
ABW36333,AHB21075,1359.5
ABW36333,AGG86711,1428.0
ABW36333,AGW83314,1325.5
ABW36333,AFY08044,1317.5
ABW36333,AGI52981,1385.5
ABW36333,AAL87867,1429.0
ABW36333,AGI52989,1373.5
ABW36333,AEX38474,1425.0
ABW36333,ADO34927,1438.0
ABW36333,AGF37648,1394.5
ABW36333,ACU13094,1399.5
ABW36333,AEV40049,1372.5
ABW36333,AGT18721,1305.5
ABW36333,AFH76959,1417.5
ABW36333,ACN90994,1520.0
ABW36333,ACE77927,1435.5
ABW36333,AGE83982,1363.0
ABW36333,ADW93789,1338.5
ABW36333,AFX65229,1344.5
ABW36333,ACV70734,1384.5
ABW36333,AGO86678,1345.5
ABW36333,AEP17277,1424.0
ABW36333,ACZ61118,1384.5
ABW36333,AHB20856,1384.0
ABW36333,ADL32414,1385.5
ABW36333,ADO29901,1369.5
ABW36333,AHI97714,1395.5
ABW36333,AHW46596,1419.5
ABW36333,AEO01499,1367.5
ABW36333,AHF20501,1317.5
ABW36333,AEH42785,1463.5
ABW36333,AIB06042,1414.0
ABW36333,ACZ16520,1389.5
ABW36333,BAM37808,1351.5
ABW36333,ADY80044,1432.5
ABW36333,AEF33067,1364.5
ABW36333,AHG26648,1376.5
ABW36333,ADJ18171,1332.0
ABW36333,ADM23847,1364.0
ABW36333,ADM23846,1379.0
ABW36333,AFZ77460,1401.0
ABW36333,AFM46639,1373.5
ABW36333,AGF37789,1418.0
ABW36333,ADB81439,1383.5
ABW36333,AGG86873,1382.5
ABW36333,BAM78376,1443.0
ABW36333,AGC13458,1363.0
ABW36333,AHN19444,1379.5
ABW36333,AHB22927,1455.0
ABW36333,AGG53088,1388.5
ABW36333,AHB51328,1478.5
ABW36333,ACT33159,1372.5
ABW36333,AEH59624,1378.5
ABW36333,AGJ73386,1404.0
ABW36333,ACR81633,1391.5
ABW36333,AFB77618,1363.5
ABW36333,AHB51390,1415.0
ABW36333,AEO01598,1382.5
ABW36333,AGS08781,1404.0
ABW36333,AEM63475,1384.5
ABW36333,AHV83802,1355.5
ABW36333,AGI40726,1406.0
ABW36333,AGZ62339,1421.0
ABW36333,ACT97067,1437.0
ABW36333,ADD96936,1373.5
ABW36333,AFN18875,1383.5
ABW36333,AHY95104,1407.0
ABW36333,ACZ96889,1394.5
ABW36333,AAK71687,1460.0
ABW36333,AFZ15937,1414.0
ABW36333,AFU10184,1354.0
ABW36333,AFM46517,1361.5
ABW36333,AFM46518,1369.5
ABW36333,AEV40056,1357.5
ABW36333,AIA66731,1429.0
ABW36333,BAJ06679,1361.5
ABW36333,ACS71656,1388.5
ABW36333,AFH76980,1427.0
ABW36333,AFU09985,1435.5
ABW36333,ADI52836,1377.5
ABW36333,ADI52837,1376.5
ABW36333,ADI52834,1392.5
ABW36333,AGU92777,1362.5
ABW36333,ACS78026,1385.5
ABW36333,ACE77937,1398.0
ABW36333,ACE77933,1409.0
ABW36333,AHB51472,1428.0
ABW36333,AEF28999,1348.5
ABW36333,AFU08580,1392.0
ABW36333,AFP36183,1365.5
ABW36333,AIC73740,1357.5
ABW36333,ADE75148,1304.0
ABW36333,AEM63500,1394.5
ABW36333,CCD31011,1390.5
ABW36333,AIA66646,1310.5
ABW36333,AGT18720,1376.5
ABW36333,AGT18723,1333.0
ABW36333,AGT18724,1323.0
ABW36333,AGJ73367,1345.5
ABW36333,ADO29908,1374.5
ABW36333,AGK73228,1391.5
ABW36333,AHJ57435,1384.5
ABW36333,ADM23842,1371.0
ABW36333,BAJ40004,1361.5
ABW36333,AGN49381,1303.0
ABW36333,ADA83043,1379.5
ABW36333,AGL04595,1342.5
ABW36333,AGL04629,1346.5
ABW36333,AEI30057,1388.0
ABW36333,AAA72339,1517.0
ABW36333,AET11800,1310.0
ABW36333,AHJ57430,1363.5
ABW36333,AHJ57431,1358.5
ABW36333,BAI83388,1474.0
ABW36333,AGZ62404,1414.0
ABW36333,AHD25415,1397.0
ABW36333,AIC73834,1350.5
ABW36333,ACO07051,1436.5
ABW36333,BAG49619,1471.0
ABW36333,AFQ34729,1431.0
ABW36333,AGZ62396,1397.0
ABW36333,AHY20931,1367.5
ABW36333,ABB86946,1499.0
ABW36333,AHB51256,1426.0
ABW36333,AFF57124,1379.5
ABW36333,AHG26890,1370.5
ABW36333,ADF58349,1374.5
ABW36333,AGK72773,1385.0
ABW36333,AEI30055,1406.5
ABW36333,AGL05056,1381.5
ABW36333,AAD17229,1338.0
ABW36333,AEJ82796,1357.5
ABW36333,AEJ82792,1390.5
ABW36333,ADG85233,1381.5
ABW36333,ADO14359,1377.5
ABW36333,AFB70317,1383.5
ABW36333,AFM46668,1352.0
ABW36333,AEA29595,1392.5
ABW36333,AEI30056,1452.0
ABW36333,AFE02952,1345.5
ABW36333,AHZ65637,1427.0
ABW36333,AHB21027,1453.5
ABW36333,ABY81426,1542.0
ABW36333,AEN55513,1363.5
ABW36333,AEN94886,1371.0
ABW36333,AAO65612,1436.5
ABW36333,ACF25596,1536.0
ABW36333,BAG49742,1530.0
ABW36333,AHB23011,1440.0
ABW36333,BAI94576,1362.5
ABW36333,AHB21448,1416.0
ABW36333,AAL29715,1536.0
ABW36333,AGE84002,1389.0
ABW36333,AAL87868,1417.0
ABW36333,AGB98447,1439.5
ABW36333,AEZ01107,1370.5
ABW36333,ABG34254,1367.0
ABW36333,AHD25066,1415.5
ABW36333,ABW94127,1302.0
ABW36333,ADR01746,1383.5
ABW36333,AHX38144,1373.5
ABW36333,AGI02406,1428.0
ABW36333,AEW25590,1369.5
ABW36333,AAF87284,1395.0
ABW36333,AAF87283,1499.0
ABW36333,AFI62151,1434.0
ABW36333,AHB21712,1449.0
ABW36333,AIB06034,1380.5
ABW36333,ACU80014,1555.0
ABW36333,AHW46624,1409.0
ABW36333,AHB21628,1417.0
ABW36333,AFH76964,1406.0
ABW36333,ABQ42444,1461.0
ABW36333,BAI83395,1435.0
ABW36333,BAI83396,1453.0
ABW36333,AGA19235,1376.5
ABW36333,AHB22579,1475.5
ABW36333,AHB23117,1433.5
ABW36333,AEO01612,1380.5
ABW36333,AIC73827,1380.5
ABW36333,AHB23664,1435.0
ABW36333,AGI54182,1345.5
ABW36333,AGZ62388,1403.0
ABW36333,AHB22687,1384.5
ABW36333,AGA19305,1364.5
ABW36333,ADY70986,1443.0
ABW36333,AIC73767,1363.5
ABW36333,ADB89281,1401.5
ABW36333,AGK24463,1415.0
ABW36333,ACX36501,1382.5
ABW36333,AEJ82788,1395.5
ABW36333,BAK23275,1437.0
ABW36333,AHY84466,1390.5
ABW36333,AEX30519,1426.5
ABW36333,AEW25528,1376.5
ABW36333,AFM93986,1414.0
ABW36333,AFL56787,1432.5
ABW36333,ADG85225,1371.5
ABW36333,ADM23851,1379.5
ABW36333,AEA29582,1426.0
ABW36333,AEX30517,1388.5
ABW36333,AHA57090,1376.5
ADD23162,ABY40410,1332.0
ADD23162,BAN14734,1321.5
ADD23162,BAN14735,1329.5
ADD23162,AHM24199,1378.0
ADD23162,AEL89681,1607.0
ADD23162,ACR26715,1451.0
ADD23162,AFH76985,1410.5
ADD23162,ABU80265,1372.5
ADD23162,AHM24191,1438.5
ADD23162,AGK24317,1348.5
ADD23162,AHB73644,1454.5
ADD23162,AFR75854,1439.5
ADD23162,AEV40002,1604.0
ADD23162,AHB51172,1474.5
ADD23162,AEW25367,1601.0
ADD23162,ADV19281,1394.5
ADD23162,ADY71223,1392.5
ADD23162,ADB82656,1388.0
ADD23162,AHZ65737,1438.5
ADD23162,ABK57093,1349.5
ADD23162,ABK57092,1442.5
ADD23162,AHA38580,1602.0
ADD23162,AHH00837,1381.5
ADD23162,AGS48846,1435.5
ADD23162,ADJ38087,1360.5
ADD23162,AFZ15807,1377.5
ADD23162,AHB72834,1436.0
ADD23162,AFM46999,1589.0
ADD23162,AEJ10440,1609.0
ADD23162,ADF83497,1397.5
ADD23162,AEA48985,1586.5
ADD23162,AEA92634,1366.5
ADD23162,AFR75836,1445.5
ADD23162,AFJ78661,1621.0
ADD23162,AFQ37281,1618.0
ADD23162,AGK73290,1597.0
ADD23162,AHB21075,1405.5
ADD23162,AGG86711,1444.5
ADD23162,AGW83314,1563.0
ADD23162,AFY08044,1359.0
ADD23162,AGI52981,1592.0
ADD23162,AAL87867,1459.5
ADD23162,AGI52989,1610.0
ADD23162,AEX38474,1436.5
ADD23162,ADO34927,1428.5
ADD23162,AGF37648,1607.0
ADD23162,ACU13094,1599.0
ADD23162,AEV40049,1621.0
ADD23162,AGT18721,1542.0
ADD23162,AFH76959,1352.5
ADD23162,ACN90994,1446.5
ADD23162,ACE77927,1380.5
ADD23162,AGE83982,1407.5
ADD23162,ADW93789,1539.0
ADD23162,AFX65229,1554.0
ADD23162,ACV70734,1621.0
ADD23162,AGO86678,1583.0
ADD23162,AEP17277,1416.0
ADD23162,ACZ61118,1598.0
ADD23162,AHB20856,1417.5
ADD23162,ADL32414,1613.0
ADD23162,ADO29901,1606.0
ADD23162,AHI97714,1341.0
ADD23162,AHW46596,1353.5
ADD23162,AEO01499,1625.0
ADD23162,AHF20501,1523.0
ADD23162,AEH42785,1398.5
ADD23162,AIB06042,1420.5
ADD23162,ACZ16520,1606.0
ADD23162,BAM37808,1598.0
ADD23162,ADY80044,1372.5
ADD23162,AEF33067,1570.0
ADD23162,AHG26648,1434.0
ADD23162,ADJ18171,1562.5
ADD23162,ADM23847,1604.5
ADD23162,ADM23846,1620.5
