p_id,p_id2,distance_mean,distance_median,distance_std
H1,H10,2.11293023256,2.34,0.452852735206
H1,H13,1.7488372093,2.0,0.56422290376
H1,H14,2.16174418605,2.42,0.584903474168
H1,H16,1.95755813953,2.135,0.439150702656
H1,H17,1.7873255814,2.02,0.658686897456
H1,H5,1.26308702176,1.28,0.56435308875
H1,H7,2.26992894057,2.49,0.588998784883
H10,H13,2.678,2.66,0.103033974979
H10,H17,2.729,2.745,0.0660984114786
H13,H17,1.7075,1.705,0.00829156197589
H14,H10,1.972,1.975,0.0676461381012
H14,H13,2.2475,2.245,0.00829156197589
H14,H16,2.3775,2.38,0.0129903810568
H14,H17,2.4925,2.485,0.0496865172859
H14,H5,2.24241935484,2.35,0.462312509456
H14,H7,1.79097222222,1.795,0.0810548463528
H16,H10,2.761,2.75,0.0922442410127
H16,H13,0.795,0.795,0.005
H16,H17,1.855,1.85,0.00866025403784
H16,H5,2.1689516129,2.215,0.215360981836
H2,H1,1.34503171247,1.33,0.586659703639
H2,H10,2.43381818182,2.4,0.206811208674
H2,H13,2.055,2.035,0.249522270822
H2,H14,2.47204545455,2.56,0.225887940294
H2,H16,2.17977272727,2.155,0.271841269162
H2,H17,1.89431818182,1.905,0.212350457834
H2,H3,2.52327751196,2.46,0.219849574182
H2,H5,1.15948680352,1.185,0.497928878169
H2,H7,2.57103535354,2.575,0.281505581986
H3,H1,2.11636474908,2.33,0.560359908647
H3,H10,1.86242105263,1.84,0.120499391768
H3,H13,2.30377192982,2.32,0.0848568490229
H3,H14,0.897192982456,0.88,0.0715309866842
H3,H16,2.4300877193,2.45,0.0801150008298
H3,H17,2.43666666667,2.43,0.0698327157365
H3,H5,2.11220147142,2.16,0.369699579988
H3,H7,1.67638888889,1.66,0.0944996613613
H5,H10,1.99122580645,2.075,0.353060966103
H5,H13,1.9410483871,2.12,0.5349356587
H5,H17,2.03741935484,2.22,0.542098477793
H7,H10,1.03305555556,0.975,0.207907824721
H7,H13,2.55722222222,2.555,0.107072434234
H7,H16,2.68111111111,2.67,0.0956782158469
H7,H17,2.66652777778,2.68,0.0864445827977
H7,H5,2.25250448029,2.35,0.46974660482
H9,H1,1.59403100775,1.81,0.593923388398
H9,H10,2.18666666667,2.19,0.0489444129146
H9,H13,1.81,1.805,0.0238047614285
H9,H14,1.93,1.93,0.00816496580928
H9,H16,1.95666666667,1.96,0.0268741924943
H9,H17,1.88166666667,1.885,0.0167497927019
H9,H2,1.88863636364,1.945,0.260354573865
H9,H3,2.07842105263,2.07,0.0528638151158
H9,H5,1.5585483871,1.63,0.430575434329
H9,H7,2.285,2.29,0.11125130045
