p_id,p_id2,value
1eo8,1ha0,0.42
1eo8,1hgd,0.32
1ha0,1hgd,0.39
1eo8,1hge,0.32
1ha0,1hge,0.4
1hgd,1hge,0.06
1eo8,1hgf,0.33
1ha0,1hgf,0.39
1hgd,1hgf,0.13
1hge,1hgf,0.13
1eo8,1hgg,0.32
1ha0,1hgg,0.4
1hgd,1hgg,0.12
1hge,1hgg,0.11
1hgf,1hgg,0.14
1eo8,1hgh,0.33
1ha0,1hgh,0.4
1hgd,1hgh,0.12
1hge,1hgh,0.1
1hgf,1hgh,0.14
1hgg,1hgh,0.11
1eo8,1hgi,0.33
1ha0,1hgi,0.4
1hgd,1hgi,0.12
1hge,1hgi,0.1
1hgf,1hgi,0.14
1hgg,1hgi,0.12
1hgh,1hgi,0.09
1eo8,1hgj,0.33
1ha0,1hgj,0.39
1hgd,1hgj,0.08
1hge,1hgj,0.09
1hgf,1hgj,0.12
1hgg,1hgj,0.11
1hgh,1hgj,0.1
1hgi,1hgj,0.1
1eo8,1jsd,1.64
1ha0,1jsd,1.62
1hgd,1jsd,1.6
1hge,1jsd,1.6
1hgf,1jsd,1.6
1hgg,1jsd,1.61
1hgh,1jsd,1.6
1hgi,1jsd,1.6
1hgj,1jsd,1.6
1eo8,1jsh,1.65
1ha0,1jsh,1.62
1hgd,1jsh,1.61
1hge,1jsh,1.61
1hgf,1jsh,1.61
1hgg,1jsh,1.62
1hgh,1jsh,1.61
1hgi,1jsh,1.61
1hgj,1jsh,1.61
1jsd,1jsh,0.14
1eo8,1jsi,1.66
1ha0,1jsi,1.63
1hgd,1jsi,1.61
1hge,1jsi,1.61
1hgf,1jsi,1.62
1hgg,1jsi,1.62
1hgh,1jsi,1.61
1hgi,1jsi,1.62
1hgj,1jsi,1.61
1jsd,1jsi,0.17
1jsh,1jsi,0.11
1eo8,1jsm,1.5
1ha0,1jsm,1.52
1hgd,1jsm,1.5
1hge,1jsm,1.5
1hgf,1jsm,1.51
1hgg,1jsm,1.51
1hgh,1jsm,1.5
1hgi,1jsm,1.5
1hgj,1jsm,1.5
1jsd,1jsm,1.23
1jsh,1jsm,1.24
1jsi,1jsm,1.24
1eo8,1jsn,1.54
1ha0,1jsn,1.55
1hgd,1jsn,1.53
1hge,1jsn,1.53
1hgf,1jsn,1.54
1hgg,1jsn,1.54
1hgh,1jsn,1.54
1hgi,1jsn,1.53
1hgj,1jsn,1.53
1jsd,1jsn,1.29
1jsh,1jsn,1.29
1jsi,1jsn,1.29
1jsm,1jsn,0.28
1eo8,1jso,1.51
1ha0,1jso,1.52
1hgd,1jso,1.5
1hge,1jso,1.5
1hgf,1jso,1.51
1hgg,1jso,1.51
1hgh,1jso,1.51
1hgi,1jso,1.5
1hgj,1jso,1.5
1jsd,1jso,1.23
1jsh,1jso,1.24
1jsi,1jso,1.24
1jsm,1jso,0.09
1jsn,1jso,0.26
1eo8,1ken,0.49
1ha0,1ken,0.51
1hgd,1ken,0.44
1hge,1ken,0.43
1hgf,1ken,0.44
1hgg,1ken,0.44
1hgh,1ken,0.44
1hgi,1ken,0.44
1hgj,1ken,0.44
1jsd,1ken,1.63
1jsh,1ken,1.64
1jsi,1ken,1.64
1jsm,1ken,1.54
1jsn,1ken,1.57
1jso,1ken,1.54
1eo8,1mql,0.44
1ha0,1mql,0.49
1hgd,1mql,0.38
1hge,1mql,0.37
1hgf,1mql,0.37
1hgg,1mql,0.37
1hgh,1mql,0.36
1hgi,1mql,0.37
1hgj,1mql,0.38
1jsd,1mql,1.58
1jsh,1mql,1.59
1jsi,1mql,1.6
1jsm,1mql,1.48
1jsn,1mql,1.51
1jso,1mql,1.48
1ken,1mql,0.5
1eo8,1mqm,0.42
1ha0,1mqm,0.46
1hgd,1mqm,0.36
1hge,1mqm,0.36
1hgf,1mqm,0.36
1hgg,1mqm,0.35
1hgh,1mqm,0.35
1hgi,1mqm,0.36
1hgj,1mqm,0.37
1jsd,1mqm,1.58
1jsh,1mqm,1.59
1jsi,1mqm,1.59
1jsm,1mqm,1.47
1jsn,1mqm,1.51
1jso,1mqm,1.48
1ken,1mqm,0.49
1mql,1mqm,0.16
1eo8,1mqn,0.42
1ha0,1mqn,0.46
1hgd,1mqn,0.36
1hge,1mqn,0.36
1hgf,1mqn,0.36
1hgg,1mqn,0.35
1hgh,1mqn,0.35
1hgi,1mqn,0.36
1hgj,1mqn,0.37
1jsd,1mqn,1.57
1jsh,1mqn,1.59
1jsi,1mqn,1.59
1jsm,1mqn,1.47
1jsn,1mqn,1.51
1jso,1mqn,1.48
1ken,1mqn,0.49
1mql,1mqn,0.16
1mqm,1mqn,0.0
1eo8,1qfu,0.34
1ha0,1qfu,0.46
1hgd,1qfu,0.31
1hge,1qfu,0.31
1hgf,1qfu,0.32
1hgg,1qfu,0.32
1hgh,1qfu,0.33
1hgi,1qfu,0.31
1hgj,1qfu,0.32
1jsd,1qfu,1.62
1jsh,1qfu,1.63
1jsi,1qfu,1.63
1jsm,1qfu,1.47
1jsn,1qfu,1.5
1jso,1qfu,1.47
1ken,1qfu,0.49
1mql,1qfu,0.41
1mqm,1qfu,0.39
1mqn,1qfu,0.39
1eo8,1rd8,1.89
1ha0,1rd8,1.87
1hgd,1rd8,1.84
1hge,1rd8,1.83
1hgf,1rd8,1.85
1hgg,1rd8,1.85
1hgh,1rd8,1.84
1hgi,1rd8,1.84
1hgj,1rd8,1.85
1jsd,1rd8,1.48
1jsh,1rd8,1.48
1jsi,1rd8,1.48
1jsm,1rd8,1.27
1jsn,1rd8,1.31
1jso,1rd8,1.27
1ken,1rd8,1.87
1mql,1rd8,1.82
1mqm,1rd8,1.83
1mqn,1rd8,1.83
1qfu,1rd8,1.85
1eo8,1ru7,1.64
1ha0,1ru7,1.64
